顧客名,年齢,合計金額
メネ チツオ,45,56129
テチホヌ ハメ,51,56127
ネタヤチ ユテモ,86,56102
ヒセコ セモ,94,56100
ヌン セヌトシ,23,56100
ニヤ オニケ,91,56100
ソス モン,47,56100
カユチメ ヒセカヨ,23,56100
ウネセキ キソタケ,31,56100
ント ネツコイ,95,56098
コホタハ ヤヤ,62,56044
ヒエンチ ツカアク,30,56025
メホヨ モカ,97,56000
ミナヲイ ヤヨマ,52,56000
チセ エヨ,73,56000
シキカ スコテ,39,56000
コセナ ムシトン,38,56000
コカ フワヌセ,60,56000
クキソヨ チマヤ,64,56000
ウスス タア,54,56000
ノセム ヒホチ,48,55976
セホ ヤヌマ,84,55970
トカホ トシ,41,55930
ヨフナ ユメサ,93,55900
マセマ チワヒ,26,55900
ホフナ クイヌ,39,55900
ナニハ ヘヤ,94,55900
トセミ シヌコ,69,55900
カイケヘ ヤカエノ,56,55900
エホン コユセサ,58,55900
ウタ ミワモ,30,55900
トナ ヘハシフ,73,55887
ウヤムカ エヨノ,98,55835
ホテ ユキンツ,37,55829
ヒフタ ニカ,87,55814
ヲヨミヌ ワソアホ,17,55800
ワクケ ケナ,51,55800
ユクス ワオフマ,53,55800
ミソエ テユ,51,55800
ヒク テムモモ,46,55800
テキミ マユ,49,55800
アホセオ フフムホ,33,55800
スソマイ メフコツ,81,55799
メヨ モヌサケ,74,55780
エユエオ ミテメテ,50,55759
ヨフワ ノアマニ,43,55755
ムコ チネメ,99,55754
マナワヒ チヘムテ,30,55719
ミスホホ ノタカタ,70,55714
ホソヒン ネヲ,20,55703
ユエ ノトナ,28,55700
ホケ ユソキツ,65,55700
ヘツヒン タタソ,93,55700
ニスア ホヒナヲ,63,55700
ソムムフ ヌハムム,68,55700
ソインク ンスネ,60,55700
ケハ ユン,88,55700
ケオ ケイ,71,55700
キチ トサユモ,97,55700
カノ イハ,96,55700
ウオ アヘ,24,55700
アエス ススミソ,51,55700
ニハミ ケノ,32,55690
ホモナオ チヌケ,61,55658
ヲヒ エト,45,55647
ホノ ホマ,45,55647
ホツカ チモヘシ,48,55642
ハツ ケツソケ,62,55627
ナスオヌ ヒサヲコ,30,55614
メミム ニシ,17,55600
メニ ワテ,32,55600
フン カスエハ,95,55600
ツニ スムノ,76,55600
オノホム ナキワケ,54,55600
ヒメヌス ソカ,61,55596
コユハナ ナユ,84,55526
トヘ メママ,61,55520
ソハヘ イメ,47,55503
ムアフ ヌノ,96,55500
オアコ スニタヨ,85,55489
タセウ ヌソ,83,55474
ヌツト ヨムマヒ,60,55465
ノウ コテ,50,55455
テワ ワユ,40,55454
シク タヌエ,27,55450
ハサオメ トヘ,46,55418
ンハクノ ムニコヌ,94,55400
ヲモ タヨ,71,55400
ヲタ アヒ,86,55400
ムウン マネテネ,49,55400
ハシホフ ワナミキ,19,55400
タコテ チイマシ,74,55400
サミタホ ネイア,53,55400
ムム ツイ,41,55399
ヤテ セネト,25,55393
ツア ワミ,98,55376
ネヌマ ムサヒ,18,55336
ミセソ オオ,36,55300
マウサ クタノ,43,55300
ホサ メニメヘ,57,55300
ニヘ ツホ,25,55300
ナチ フミヒウ,68,55300
タサキ ネネタ,73,55300
クユエ エニヌ,64,55300
キヌ ハヒテイ,73,55300
ウケウ ミケト,41,55245
ヒヲヘ モヨノイ,58,55235
ムミシク イヨセン,46,55232
テム ムンコ,22,55200
ツワソ カウセシ,76,55200
チサヲキ イワム,90,55200
セイナ ナオコ,62,55200
スヘ トミ,39,55200
ムメ スソ,62,55166
ノテテテ フウマ,92,55118
ヲホエト セトコ,58,55112
メソヘイ テニケ,60,55100
ムト ネメウワ,91,55100
ミカマ カヒモ,76,55100
ホヘモホ ンヲニ,82,55100
フア コワ,59,55100
ヌン シノハハ,95,55100
タヤフ ヒマユ,31,55100
スユトク ンハ,38,55100
ケハヌ ムコハフ,18,55100
クマシト マヲムク,38,55100
イメヤ エマ,83,55100
モキ コノノ,78,55077
ユモフ アトヨヨ,64,55068
ノイ キマヤサ,53,55066
ワワア シタシ,32,55051
ワア シマ,68,55028
メノ ヘスナト,86,55000
マケホホ モメワセ,83,55000
セフコツ サネヲ,49,55000
クヌ サチア,25,55000
キンイ ウセスソ,41,55000
エクヲフ イアカン,51,54998
ワワテフ ホハケツ,91,54974
ヘソキ ナイニホ,93,54955
ミモ ワク,95,54900
ミヘ ムチ,73,54900
ホヨ ヒテシ,96,54900
ヌナヒホ ヌシアチ,61,54900
コツア テユク,47,54900
イハヒ キメ,22,54900
キセク ヲフワモ,78,54867
ヌカ カハハ,85,54849
カコ ケケ,83,54848
ネサユワ イモモ,30,54818
ンキノ トケテフ,44,54800
ヨコネ ヤアノネ,61,54800
トオハ ツチ,79,54800
コニ チフ,73,54800
クテサ サホヒケ,60,54800
メウ ヒミ,90,54798
イトミ ホケモ,98,54784
ミソ トトン,44,54768
ククフ ミカ,87,54727
ヲヒオミ ケヤ,57,54724
サカコム ハコ,55,54721
ストシ チスナ,96,54710
ハハ ヲテメ,70,54700
ヌト ユフ,98,54700
ニソハケ フミワシ,48,54700
コホ ソオ,26,54700
コキツミ ムヌ,39,54700
エム ヌヌウ,33,54700
エクニ トエ,49,54700
アン ヲユアチ,21,54659
エクヨカ ハノ,47,54653
ヒナソツ ユナホ,20,54643
ホエヲオ ユヘムト,53,54621
ワヌホヘ ケユ,97,54600
ユム ムヲノ,24,54600
ヤヤテ ユフチ,32,54600
ノンアキ キムフ,80,54600
カサセ ヨネシ,45,54600
ウヌ ウヨヲ,69,54600
コヤソ ヌメコ,60,54541
エケオヨ イウ,92,54517
セワ クサミ,56,54502
ヨタノ イシ,89,54500
モヨコオ ヒセ,91,54500
ノチキ キカニ,99,54500
ツス ヌテ,19,54500
セヨ シチヘン,55,54500
キトシヤ ケハ,19,54500
エネハ コノス,54,54500
イソカ クイツサ,26,54475
ンタ ネモテ,58,54471
ワフシ メネ,22,54400
ヤメ カヘモメ,79,54400
ムンモ キヒ,20,54400
ミヲテヤ ムヘノ,37,54400
ヘソモエ ウニ,72,54400
ハオ ワワワエ,70,54400
ニトワヲ ツチメチ,78,54400
ツヘヤシ ネテケシ,93,54400
タス サウヌオ,76,54400
ソカ テナワア,48,54400
セヨ スサキ,15,54400
ケススハ セホナ,31,54400
エミフウ ユヤ,90,54400
ヨナヒ マケサ,75,54319
オネキモ ヲオ,82,54318
ホナフ チシ,28,54300
ヘハタ ハツ,94,54300
ヌチモハ キノチ,79,54300
ニコソ ヲスチ,89,54300
ウサユ ヘアステ,94,54300
アオツエ ナオム,15,54300
イイ イセ,64,54272
ヌケミユ ムイセサ,33,54251
フオハ ヌイ,65,54216
ヘタ ノチノヲ,33,54209
ンセ オユチ,83,54200
ヨヘ セシクヘ,62,54200
ヨカ モチキ,25,54200
メヨオ メス,96,54200
ムヘオ ムクコ,63,54200
ノメム テミフ,68,54200
ソヌセキ メンナト,74,54200
ソカイカ ソキ,33,54200
コソケシ ヤヘタ,65,54200
ウツカ ヒヒ,57,54200
イマイオ ネナ,90,54173
ヌオサフ トンキ,52,54115
ヲウ ナマヒ,58,54100
ワミエ ソヨ,78,54100
ヤス ヌケ,34,54100
ミミフヤ テワ,57,54100
ヒク ワモタ,93,54100
ナヤ チヨカ,24,54100
ニソ ムコニセ,99,54066
ヤヌシユ ンフソシ,33,54053
ニイタユ ナフ,67,54032
ワセヲサ アヒマ,25,54023
ユスヨ ノユ,94,54000
ユサ ナアム,55,54000
チマ イニイ,15,54000
シカ ミトタ,33,54000
ケマ ヲチ,89,54000
オコ ヌクノオ,34,54000
イモワテ ホイタニ,66,53970
オネノカ ヘユ,20,53945
ヘヘヤツ ホニ,32,53903
ンセハサ ミセメコ,39,53900
ムヘン ワサヨア,77,53900
ムニコ ヘカ,61,53900
ホヤメ ハオ,23,53900
ホヤム ナチアク,65,53900
フチ ヒマ,16,53900
ヒンコキ ノワケユ,54,53900
テタクト ホネヲ,83,53900
セカヨ ナト,52,53900
シニ ハメウエ,48,53900
ヘメエノ ノホ,27,53874
ノヒセ キツ,96,53864
ユノムタ シネ,95,53853
ノナサム チヘコ,76,53842
ケサユヲ ネオマ,89,53827
カミ スシ,78,53825
ケソケ サユ,72,53810
ヲンヨソ トニ,42,53800
ミカ ムセ,61,53800
ヘモケ セシ,27,53800
ハチコ テマ,26,53800
ナテネフ ヌミネ,80,53800
セテ ミハモ,87,53800
シユ ケトオメ,54,53800
コスモヘ アチトセ,41,53800
ムヘヤエ オニワオ,20,53784
ナテ ヌコ,80,53774
スオケミ ハケヘ,24,53713
ンメタ ユケモフ,95,53700
ワヌ ウコ,17,53700
ヨフニモ ンヌネ,75,53700
ニワイテ サムモセ,75,53700
テモユタ フヲ,53,53700
コカ メイワテ,30,53700
ウスフ ヨヒヨヒ,30,53700
ウシ フサア,98,53700
オネオ アネ,53,53677
タキセ イヨヲチ,74,53660
ヘアテネ ヤノサ,29,53653
コシ ノホニメ,73,53627
ムメ ワトミヲ,28,53618
ミネヤカ コヘセ,36,53603
ヘモ ノシ,74,53600
ヌト チメトセ,58,53600
ヌエハホ キカキ,32,53600
チネタキ セソスケ,53,53600
セク チヤコ,51,53600
フムン マスモ,49,53589
エソ コニ,89,53584
ユヲ コマ,15,53580
トセ ホハワエ,88,53563
エモヨヤ ユアキム,48,53543
チヤ マホ,89,53521
ナソ トヤネタ,30,53500
ナサマフ ツユ,99,53500
タウ メケミ,83,53500
ソツナセ ムヲマ,18,53500
スオ フモム,57,53500
カマ ムヘワ,89,53500
カク キムマコ,24,53500
オナ エネ,21,53500
アニタ ムモツワ,71,53500
テハウス ケコ,70,53482
ワウ エクモセ,71,53480
セトテ ヨノフ,76,53477
ナオ ツヘ,76,53476
ヒイ ササソ,22,53464
ナヌヨム シマニナ,50,53427
ホテニツ ネタチ,96,53404
ヲモ ソユ,34,53400
ヤア ヨミ,35,53400
ムメ ソトコエ,22,53400
ムイセ クアサヤ,58,53400
フワ ニクモ,94,53400
ヒン セテ,31,53400
テユエシ ハミヨエ,82,53400
テヌ ヘマホ,57,53400
コシ テサオイ,46,53400
オムタ オナテ,90,53400
ナタ クフ,18,53381
ウセネク メヒ,62,53327
ウマコ ミアカケ,38,53324
ムイ アユヒツ,42,53300
ニツソス ヒア,53,53300
スナム コウユ,35,53300
サヤヲ タユ,82,53300
ウヒ ハフマ,83,53300
アムイ ユモテタ,60,53300
オンユミ ヨミコ,29,53285
ウニカイ タソ,35,53283
ホワマ シモヘ,94,53281
ウネニモ ヌサヨニ,93,53265
ヲフワソ サウムム,35,53200
ヤニヨ コク,33,53200
ミヨ ミセハサ,76,53200
セテト タタク,33,53200
スエ マヲ,52,53200
サマネマ キテサキ,30,53200
ケニネミ ヌク,61,53200
フハヲフ ハユセ,44,53198
イヤ メア,47,53145
テワモ ツテ,85,53144
ハユ エク,33,53127
ヤマヌソ ホハヌカ,77,53100
モイ ネエコン,75,53100
ハナキ ユニニ,50,53100
ノソヒ ヘオメ,49,53100
ネカノ シクテシ,98,53100
ニンハサ ユクモ,87,53100
ニキ ワタ,63,53100
ツイ ウマシ,44,53100
サネ エカ,32,53100
サクワイ コヨトニ,22,53100
ヌノ コヤサ,30,53095
ノニ ンムユチ,42,53090
カエモ フチサノ,47,53040
ホム メチセコ,80,53036
カヤンナ ソシキ,79,53014
ヤヲ ンタ,52,53000
ヤツ オテソシ,72,53000
マホ ナヒニ,87,53000
ナワ ヘニモオ,55,53000
テニ ムツサ,73,53000
オツス テケ,80,53000
エサメチ エミケ,56,53000
イサ ノニテ,56,53000
ツコ ナヨサ,33,52991
カチ ハヲン,39,52969
ナヤヌヲ メソソノ,83,52961
ネオノ ケセヌ,28,52958
ンケキ ハク,34,52900
モユ ナクヌヲ,85,52900
ヒチ キヲコタ,76,52900
ハヒ モイイメ,44,52900
ツヨ ナサモ,24,52900
オスチ ヲオサヨ,61,52900
イヲ ヒハ,79,52900
オカト トコオ,46,52898
アエシ ヲウ,29,52868
フヘン イヌヌツ,49,52838
メワ チチミ,80,52817
ンメサ ネユソ,20,52800
ムノコ ニハシ,64,52800
ヘメニア ヒメ,55,52800
ヒネフ ユスモ,37,52800
トソナク ハキセテ,95,52800
クイ エムキヒ,25,52800
スウヌヒ ニヌコヌ,65,52796
ソカニミ ヘアソサ,54,52778
ンメホ ワオヲヌ,64,52776
エソ テフスウ,89,52740
ヨアハ ホユンム,78,52737
ニムワサ セヨカ,88,52712
ヨマ ソノオヨ,56,52700
ミン ネオ,64,52700
ハシソン カノカ,54,52700
ヌムメ イヒヌシ,83,52700
トム サマ,98,52700
セネ イホウフ,35,52700
コテ ナフヌサ,36,52700
ケヌ モチユ,62,52700
カノ スイエ,41,52700
エクンン ワアテ,83,52700
ヘンヘ ナネス,79,52669
ヒニ シハ,47,52667
アマキ ムモサヨ,40,52640
エノヤ タイ,69,52604
ミマク スケト,26,52600
ミキヘ クナ,99,52600
ホモミ アオノア,36,52600
ヒユ ワホ,93,52600
テケヒサ ホタノ,35,52600
シユシ ソツワ,52,52600
シツ ニキ,37,52600
シカヤミ ハイワ,20,52600
シアナチ キオ,59,52600
サムシ シカニイ,77,52586
ノキ トハセ,84,52574
ナム ネムメク,94,52569
ンフニユ セモフ,46,52541
ヲノ キエ,18,52500
フソ ヤヤス,48,52500
ハスヲノ コノタ,32,52500
エメタイ オトセノ,71,52500
イホキ マヘ,87,52486
アマ コニカヨ,90,52484
セナス ソクイハ,94,52464
オソ タシヤエ,45,52430
カオア クセ,90,52410
ワヌアヲ テミ,92,52400
ユチコワ スフカキ,64,52400
フメセヲ アタト,80,52400
テヨナ ネユモマ,94,52400
サヨソ ヤサホ,36,52400
コソテ オマクサ,38,52400
アイ ケヒ,77,52400
ヤセメヲ キユ,47,52388
ノハ サイヘエ,17,52377
ホユホ カサ,45,52368
ノコノ ソマヌヒ,47,52357
クキテヌ ヤノヒイ,81,52349
ワテタ イツ,63,52332
ナカケメ ヒネ,28,52332
トヘケ ハワ,88,52330
コノホハ モユヨ,40,52329
シネウノ キチ,78,52307
ツホツメ ウヲマヒ,43,52300
シヌ カコヨ,46,52300
シスケエ ニナ,98,52300
アタメユ ハヘフカ,92,52300
ワホテ オナム,50,52219
ケエサナ メウヤコ,66,52218
ヨヌ ヒワ,41,52200
ヘト ヤマムウ,59,52200
ノケ モヤ,42,52200
ツイカ ネタ,51,52200
タセメ セン,61,52200
シヌキ ニヌケサ,17,52200
クウ ツエキム,86,52200
ウスニヲ ワオ,65,52200
ウシハ ナフ,96,52200
サトヨワ タメス,27,52185
キセフ スセ,94,52164
タメソメ アヨカ,76,52153
タカカニ サム,27,52120
ムエイネ ヒテムタ,62,52100
フス オニヲ,99,52100
ソキア テヌ,56,52100
アソ イネ,61,52100
オエノナ オタニス,15,52052
ケンムク ハチチ,81,52041
ヲツ ナヨ,80,52040
チヌコ キミ,50,52019
セノ ヤメ,38,52013
セナ スセワ,47,52003
ンテサ ムワヨウ,47,52000
メソニ ウタ,65,52000
ムエ ハヘフト,77,52000
ミヘスキ ニミト,52,52000
マヲホタ ナタミハ,54,52000
マモ ユニ,63,52000
ヌニ ノキ,43,52000
タト ヨイソテ,40,52000
セナテ ワヲオ,20,51968
ウミソ ヨト,62,51949
ムワカア チカコ,74,51947
カサム キホウユ,85,51940
スマシス タナ,18,51927
ヲツ ニヲタノ,32,51900
ムナ ホウ,68,51900
ミキメ スヲヘマ,27,51900
マヒト チワ,62,51900
ホヲキ ヤヤ,87,51900
ヌエン セクホ,49,51900
タカチム ヒササ,34,51900
タウイウ チテニ,33,51900
セモヘニ タソ,94,51900
スヤ ヲヘ,96,51900
ケノハヘ ホフ,59,51900
オヲキミ ヤカ,33,51900
タンチイ ソアア,71,51893
ヤヲカム ツテ,93,51881
テタ ワミ,80,51878
タコスユ イアユフ,99,51843
メヲ ソト,52,51819
タカ キシハ,33,51818
ヌノ ワソ,53,51814
ヲモヘス メコ,46,51800
ワミヨ ノタツキ,88,51800
ワソヤ ニコ,97,51800
ヤワサ ユサト,60,51800
ヤツサ クス,33,51800
ヘキ ヘニホ,90,51800
ネカシ ミワオ,65,51800
ヌチイナ ソネノヒ,35,51800
ナニ エイウイ,56,51800
ナエマ ナネ,37,51800
テヲツモ オソ,56,51800
テミユメ ホウイコ,22,51800
セコ ヌヨタ,93,51800
カハメン ワム,44,51800
ヤヲ ヤモハサ,34,51782
ノコナ ヘシアマ,26,51781
ナメ クウキ,60,51772
マワシカ ムメソ,65,51764
ミムト キメタハ,30,51758
ミモユ セタ,85,51750
ムニスソ オヌ,41,51700
ヒケヘ タツケ,53,51700
ハエマ ムタ,75,51700
ノナスニ マイセソ,38,51700
ナミメ ムテ,22,51700
トウエト ナカイ,40,51700
チテニ セシ,25,51700
タケ メミケユ,72,51700
ソセオマ セスエ,74,51700
シス ケメ,84,51700
コチ ユヲ,68,51700
ケサユソ ユモ,63,51700
ケコエヒ チア,54,51700
カセユマ ミンチ,39,51642
イモソマ ナヌス,96,51642
テキ オエンケ,34,51600
タサツユ ヘト,67,51600
スユ モチエ,33,51600
エヒテフ ニナ,55,51600
エケス ホミタム,76,51600
ウヤムツ ホミトキ,69,51598
ムチ ワハタ,96,51595
チキ クク,34,51581
マモ テソノメ,22,51551
オス ミワテ,31,51545
ナヤケ ムシユサ,50,51529
ヒヲ マソニト,75,51508
カスツ ソオシ,45,51506
モムシナ ハムヤス,22,51500
ムシス ンメツヌ,23,51500
ホイハ シモマム,89,51500
ハスイ ヲシサ,92,51500
ノマツホ スハフハ,57,51500
タニカ セニケ,49,51500
セヨンハ モキ,97,51500
エシカ ネニミモ,64,51500
ソケハマ ホカ,79,51483
ヘハ テワワネ,25,51456
ニフン タホノ,22,51427
ノヌ モフコワ,34,51407
ユニヤ ヒン,91,51400
ムホミキ トスナケ,42,51400
ヌメ ケアニツ,28,51400
ヌイモ センウ,55,51400
トチシ ミホウワ,54,51400
チキ スクホ,15,51400
サカタヲ アシヲナ,57,51400
クカシヌ ネサ,57,51400
ウユナ チカソヒ,78,51400
ウフノミ ヌメケ,90,51400
アウヨ ネワキ,33,51400
キイ ホミスシ,25,51319
カン ホネ,82,51314
ワワニ ニネトヲ,72,51300
ヌネ ユカ,42,51300
ニウ ソミオメ,17,51300
テセエテ ムツ,50,51300
キム スミカ,71,51300
ナトセナ ンア,67,51279
セノ ハシ,16,51267
フテホ ホタシ,89,51234
ソサト ヌサ,48,51219
ヨヒヨ イソネナ,64,51207
ユノ クタ,16,51200
ネワ キヌ,21,51200
タウ テホス,49,51200
セニ ヤチ,78,51200
コイキウ ヒムユス,33,51200
クモ ヨチ,69,51200
ウヒヌタ ネシワイ,23,51200
ウコシ モメ,15,51200
イキ キセチミ,91,51200
ヘニ ワチタア,40,51193
マサスオ ユナイ,78,51191
ハワハ トウハ,77,51180
コシ マヨ,85,51157
ニコム フメセン,60,51151
ヘユワ キキハン,87,51117
ノヘヤク タニ,21,51117
ニセ キヤモサ,28,51116
マオナニ テニハ,25,51101
モタ クネホヒ,19,51100
フスカソ ホヤ,51,51100
ハウ スカケ,76,51100
ノテ モナテ,27,51100
テワ モンヒミ,40,51100
テイ ユヲヲ,66,51100
チカチ テク,17,51100
スイヒ タマセス,56,51100
コオヒ マホエツ,61,51100
コオト キコイツ,25,51100
ンワワ ウフヒ,47,51058
フアハ ヲスノ,28,51028
マセナエ コマテノ,50,51008
ソケ フソヒ,99,51003
メヲフメ フセ,65,51000
ツキ カウ,31,51000
シサアア ホシスス,19,51000
キハヘハ セワ,17,51000
オヨ ミメア,25,51000
アクノト ヤシ,55,51000
トキ サタミマ,73,50994
カモス トユ,71,50992
ムヨヲツ エヨエホ,59,50985
イヤ エヒテ,76,50976
テシオ ネキエハ,92,50974
セホ ミヌチ,30,50974
ウコ ムユ,77,50972
ンウホ キワテ,87,50900
ヨア ハンタテ,88,50900
ユス ツヘ,36,50900
ヤヒク キヌイ,69,50900
ヤトナ ウム,23,50900
マケ ナハ,23,50900
ホス チケ,66,50900
ヘイサ クモ,26,50900
フヤヘ ヨイマヲ,93,50900
フセカニ ホトスウ,22,50900
セソワム ヨアセ,37,50900
オヤムメ ヨエト,16,50900
エサホ コフニ,75,50900
エケソヌ コケ,45,50896
テタテ コヌノ,81,50892
ヌヒナ ワツケ,73,50854
アトミヒ メンチ,69,50828
ケツ ヒヤホマ,65,50803
ヲセ ヲフヘ,61,50800
ナノ フヲオヲ,45,50800
ナアネ ヲトサワ,90,50800
トケスケ イタホ,75,50800
タウウス ネモ,37,50800
セマホミ ヒセソタ,52,50800
コウ ネニ,73,50800
コナネ メエ,31,50785
スメヲ エサメ,55,50770
ソト モトム,80,50759
マシヨホ オホハ,66,50750
ワヒケヲ ツワマ,71,50717
ヲメナエ ソセンカ,67,50700
ヤミハ タケオマ,83,50700
モヨフ ソヌト,86,50700
ホキコ マムオ,44,50700
ニシ ヨマケ,95,50700
トミソ ツエチ,33,50700
シマヘヲ ヒメ,68,50700
ンキ アトヨヘ,23,50647
ケン ヤホ,79,50616
ワヨム ワヤアア,47,50615
ミノコハ オツ,87,50600
ヒマフハ チイヨヒ,57,50600
トシミ マヘチシ,28,50600
クミミモ ユノ,66,50600
エホキ ヨサ,95,50600
マアイヨ ケヲワシ,96,50594
ネナ ミワヨハ,91,50578
マメハ エセケ,70,50567
ナス ユン,67,50560
モヒハヒ チノス,69,50557
トモマネ スコ,77,50556
カム ニヒマ,57,50536
マヤホ セト,32,50527
ワテキ コスア,79,50514
モツニユ ミホ,65,50500
ホフメ ノカ,61,50500
ハソサ ソイタ,92,50500
エエムヨ ミツスミ,90,50500
ケサツ イキナ,87,50483
トナニア ヤネセ,44,50468
ミウユク タモコ,30,50427
ンモ アヨト,18,50400
ワエ キムツ,35,50400
ヨモヲ モハ,68,50400
ユホ エサ,68,50400
ノセワ オモチ,33,50400
ニンワセ ヤツ,97,50400
ニシヲ タヤア,62,50400
テメ ナヤ,79,50400
テイアヘ ハイ,36,50400
サセ ネオ,21,50400
キネンウ スカタ,47,50400
アムソア ヤホタ,93,50396
フヲチ タムシ,54,50329
クチヒヘ ソモンヲ,31,50314
ンユソ テモヨ,81,50300
モツコ スス,97,50300
ミホセ エンコワ,54,50300
フマコサ エヤ,51,50300
ナセ ヲヤ,69,50300
ツメ サモ,45,50300
タコユ イサエチ,61,50300
ソフヘネ スヘケハ,63,50300
ケケナク ヒツニケ,68,50300
カソソ ケアキ,58,50300
オスイツ ンミヒ,31,50258
コウ サコス,92,50257
ホハ オア,92,50256
チヒクユ カヲウ,35,50252
ニス ネワモナ,40,50238
タケア トト,45,50219
ヲチ ニエエノ,43,50214
オナウヲ エエテ,71,50207
フツ ホチムヘ,71,50200
セヌヘヘ ミヒ,19,50200
コイ ヤツタヤ,87,50200
ウアナ ワシシセ,42,50200
メエ ミヌア,43,50170
ノミオ メマ,32,50155
ンス ワナアヘ,30,50115
ヤク ツセセ,26,50100
ヘトマミ シネ,54,50100
ソユ チオチヘ,82,50100
クネ ニヨシ,74,50100
オホ ヤケシク,62,50100
エエクヤ クミヌ,20,50100
イヒトム エヒ,37,50100
キナア コウカ,97,50065
ワタスモ ヨナヒ,67,50059
ノノ メスケナ,67,50022
マフミ コキアニ,63,50021
ネヒミネ チツ,17,50000
ヌクノホ カヨ,98,50000
スノネ ホヒセテ,58,50000
カクナナ ツナ,18,50000
オウトウ ツヨ,18,50000
エユコン ウサコ,44,50000
ワカコヨ ナモクソ,78,49986
セスコ モアネセ,25,49970
ヤノ ンセモカ,71,49960
セフ メチメ,23,49934
オヒ トニウナ,39,49933
ヲノウト ウス,72,49927
オワクヒ ワト,77,49906
メミ フヤサ,38,49905
アアヲナ チテネ,51,49902
ンマセ ソホ,82,49900
マサ ホセモカ,67,49900
ヒシミ ヤヲアユ,25,49900
ハトハニ ミヲワ,83,49900
ヌミ ネナノヌ,45,49900
トノスヌ オト,15,49900
ツミハメ シヘメヒ,64,49900
ツト ミミ,22,49900
チスナチ アエエ,68,49900
ヘモコ トコサ,68,49894
キイ ヒマ,78,49871
イエケ ネノ,56,49871
サナ ムウセ,27,49861
キオネ ヲヲネソ,73,49843
ヌユノ オク,73,49829
ツツ エヌワコ,42,49827
ヲマウ サニヒ,95,49800
ユミク アオモメ,83,49800
ツヤシン シヌ,77,49800
クメニハ ホナメ,35,49800
キヤ カヘホム,22,49800
サコ ツタ,66,49766
ニツ カノニス,86,49756
ツケヲヤ ンセキ,25,49748
ミンニイ ネミタ,85,49734
サチンシ ハメハヲ,87,49719
ムンワ ヒムウ,21,49714
マヒンン メノセ,52,49707
モエ カヨ,43,49700
ヘセツカ タツ,59,49700
ヌハオ マモヤ,35,49700
テタ ワメヤ,61,49700
テスソ シコ,86,49700
クセミ ヒト,22,49700
エマツ サエコ,66,49700
エネネ シエウ,82,49700
ウツ ノネ,68,49700
アヲナモ ウユユ,43,49700
カオテ ホミス,60,49638
ヒネ ノイクエ,68,49610
ヲクチ スフソ,90,49600
ヘヲ ウソヨ,32,49600
ヘモマ カヌア,79,49600
ヘナセ キオミサ,93,49600
ニミコ ヨネケ,28,49600
ツオ カコメソ,67,49600
タネネ ヌクハニ,20,49600
セヘコフ スサエ,88,49600
マクセ トユネオ,22,49581
ヨアワヒ ナノネ,79,49555
フイソ テケ,26,49534
イユケチ マユ,72,49534
ワシ イイ,76,49502
ヨオシウ ケヲフ,38,49500
メムニワ アサヒソ,68,49500
スンオス フヒサイ,40,49500
ムホト コチ,83,49486
セシ ハキシヒ,34,49460
ハタニ セウモネ,49,49426
ヌミテケ ナネミト,85,49416
モヨイト ウチヒエ,74,49400
ホトカコ ネノケ,46,49400
ハツ メエヤ,22,49400
ニヌト ミコ,59,49400
オコ ケユ,59,49400
イマソ ユクミ,20,49400
イタ フハ,59,49400
アメメ ウアヘウ,98,49400
チムホ ササネツ,45,49393
ヲミニ ンヲエク,60,49384
ニヨニイ チヌ,40,49372
コネヒテ オトワ,26,49371
ケウウ モコマタ,18,49353
フミ モメコミ,41,49351
イマ ムウ,79,49340
ワカフウ マイハヒ,27,49300
ミネイヘ ヨナムン,24,49300
ミク ケメセコ,80,49300
フフ ハフ,15,49300
フノ テサハ,32,49300
ハヘクヨ カサセ,17,49300
ネトケサ フク,38,49300
ツス エマホ,44,49300
タメア モニ,20,49300
セヲ タナ,25,49300
ケヨコ スチ,98,49300
アホトア エヒ,43,49300
ヲウナイ ホフ,90,49296
エンスチ セタウ,46,49283
オウハミ ヘキモ,43,49268
ヘク ヌミコナ,86,49266
クカ テアマキ,82,49264
チソ ンツフ,42,49247
ソヨ ヨトイヤ,40,49243
ヒケクオ ニヲ,85,49235
ハフキ ハセ,87,49226
ワメヨ テソシ,95,49204
モエモン ヘタト,66,49201
ワソマテ トセ,32,49200
マケ タタハ,82,49200
フイタ ケコトサ,37,49200
ハケ ヘトネシ,76,49200
ヌタ ネワヨ,16,49200
ツテハム ミヲイヤ,61,49200
ソマネ テネ,79,49200
エツイ ミモネ,17,49200
ウモハ エン,30,49200
テケヲノ アモ,76,49176
ヌノタミ ヘク,85,49170
セフンア ンタ,18,49142
ソノムマ モサ,77,49103
ンケ ホシクヌ,62,49100
モン サソヲ,78,49100
ムスノチ ヌス,57,49100
マメケト ウテ,31,49100
ヘマク ノヨツケ,77,49100
フヒメム モコヨ,24,49100
フトヘ ヘヤオヌ,54,49100
ニソ ノヨナ,19,49100
ソケ メフ,17,49100
ククアエ ハノ,96,49100
セエ マノク,70,49082
キワケ ナヌ,26,49076
コスノ ヤイメ,94,49063
ワノ ソスオ,89,49060
ソハ ケフモヨ,41,49056
ソアミ トヘアエ,22,49010
ハヌユト ネフミ,56,49009
エサオ ナイヌワ,36,49006
ニヌツツ サソ,88,49000
ツチマ ネヤモ,92,49000
チケトキ ムヨコク,60,49000
