名前,地区,年齢,合計金額,百円単位の四捨五入
ヨタナ クヒヤヨ,京都府,65,44062,44100.0
クサツセ ヤスヤニ,兵庫県,23,34500,34500.0
キンイヘ ノヨセ,岩手県,51,27116,27100.0
メフコツ スソマイ,島根県,81,55799,55800.0
チミオハ ンキマ,島根県,52,61200,61200.0
ンウソ ンセヌ,千葉県,60,45700,45700.0
ネウテン カニ,愛知県,69,20600,20600.0
ソスヨイ テヤム,高知県,36,38044,38000.0
ヨサ オツ,福井県,26,33500,33500.0
アセヘヘ トセヒホ,石川県,38,44668,44700.0
セアマ ニホツ,埼玉県,68,26060,26100.0
スヒトエ ヒフマク,山形県,81,30895,30900.0
イイ メヌ,沖縄県,94,71875,71900.0
ムヲマ ソツナセ,青森県,18,53500,53500.0
アニノ エソユ,山口県,69,43800,43800.0
メユチ ホキ,静岡県,36,39842,39800.0
ニヲハケ ナヌオメ,宮崎県,40,67400,67400.0
スヒナサ テフシ,京都府,27,60000,60000.0
チナケン ナメセヲ,和歌山県,83,32000,32000.0
ツヲサワ ホナ,福岡県,34,41229,41200.0
マヒケコ ナキ,群馬県,43,39200,39200.0
サネヨイ コホ,秋田県,70,33400,33400.0
ナエワ ヘア,群馬県,97,48000,48000.0
ソトイヌ トコ,富山県,74,61100,61100.0
セネ ノメモト,山梨県,46,21910,21900.0
ホカヘミ エシヨヲ,栃木県,73,89800,89800.0
ヨハ マタ,兵庫県,99,48700,48700.0
ケフマツ タヲヒ,宮城県,78,42138,42100.0
トサユモ キチ,青森県,97,55700,55700.0
ユクマ スヌ,大阪府,32,39600,39600.0
ヘワトエ スエキシ,千葉県,67,46563,46600.0
ナケ ホア,栃木県,68,97100,97100.0
ネナ イマイオ,福島県,90,54173,54200.0
オノ ヤチホカ,愛媛県,44,21600,21600.0
ミセ ヤマソ,宮城県,33,36500,36500.0
ヲウイオ クス,佐賀県,57,25771,25800.0
ヘカン カソ,長野県,73,90600,90600.0
ノミキ メヒホス,福岡県,52,65900,65900.0
タニ ツモコヤ,福島県,80,71700,71700.0
ヤニ キニ,奈良県,75,29300,29300.0
モタミ ヤマノ,新潟県,63,48752,48800.0
ケハシ ヲヲマ,石川県,45,109600,109600.0
フツチヘ ケトヨミ,長野県,48,41100,41100.0
ヤメミハ サヒ,秋田県,40,48300,48300.0
キトノ エヒ,神奈川県,38,26700,26700.0
フン マシコツ,石川県,55,29600,29600.0
ナウ エスク,茨城県,26,42829,42800.0
チク ニア,群馬県,73,20600,20600.0
カキサセ オユワシ,福岡県,49,42500,42500.0
ハミモ ヲオ,三重県,71,108900,108900.0
キモ ノム,青森県,29,69600,69600.0
カネモヨ セセセ,山形県,39,59800,59800.0
ヨト ウミソ,兵庫県,62,51949,51900.0
ネモメ クセヌ,島根県,81,69800,69800.0
ヒナ カンユ,兵庫県,43,27775,27800.0
コセ キヨサ,千葉県,64,57100,57100.0
コナセ コユ,北海道,77,47200,47200.0
ノヘキナ トフト,高知県,87,38123,38100.0
ヲシ タヘニ,沖縄県,50,37400,37400.0
キセチミ イキ,佐賀県,91,51200,51200.0
メカミ オンカハ,神奈川県,16,107100,107100.0
ウニ サテヨキ,長野県,83,32995,33000.0
シキス ムニセイ,長野県,80,25200,25200.0
サケチヒ ヌチツ,広島県,65,56831,56800.0
ユキ ハヨワ,大分県,35,26000,26000.0
ホヤ フスカソ,山口県,51,51100,51100.0
ヲコニ ヲア,岐阜県,65,30700,30700.0
チミス ノイケ,茨城県,94,94700,94700.0
チツ ケウ,石川県,72,100735,100700.0
ヌクヘ キコ,秋田県,31,71588,71600.0
タモイマ オメワカ,沖縄県,35,25967,26000.0
ニイワモ ハチトカ,奈良県,21,41458,41500.0
フニア ホエサ,香川県,69,27444,27400.0
フンヌヒ テワメ,岩手県,26,37753,37800.0
メニト ヨカム,富山県,66,37785,37800.0
ホフム イカ,奈良県,46,39400,39400.0
スネイツ オスイン,長野県,69,21500,21500.0
ソスオ ワノ,福岡県,89,49060,49100.0
カテ ウンノヲ,岐阜県,98,82900,82900.0
ウクユキ ヘムヒヨ,大分県,99,41483,41500.0
イソキ エエト,長崎県,75,41001,41000.0
ヌヨノト セケイホ,東京都,82,26200,26200.0
メキメケ シムイ,新潟県,19,31000,31000.0
イマス マサチム,埼玉県,44,45628,45600.0
ミノミサ ツマハ,宮崎県,74,107218,107200.0
アホ テスヨ,東京都,83,74640,74600.0
クカ フフクユ,新潟県,40,76300,76300.0
ウケシナ カヤ,京都府,77,70000,70000.0
ノタ イカ,山梨県,46,48100,48100.0
ニツ サイケカ,新潟県,27,26700,26700.0
ツカアク ヒエンチ,島根県,30,56025,56000.0
ワタ ニキ,山梨県,63,53100,53100.0
スミヘホ ヌハケ,島根県,53,32100,32100.0
ケヤ ヲヒオミ,高知県,57,54724,54700.0
ネハシ クマネ,熊本県,22,29600,29600.0
メナ ケコエ,熊本県,24,67059,67100.0
セヲエオ クニン,福島県,30,39568,39600.0
ミテ チウマ,千葉県,59,68400,68400.0
キソ ナテトク,埼玉県,64,71300,71300.0
ニメアス クヤ,滋賀県,22,57018,57000.0
カセ ヨイモン,山形県,93,42400,42400.0
ソキ イヨモイ,鳥取県,46,66200,66200.0
ツト ンエヨ,大分県,79,67400,67400.0
ナキ ハスクエ,岡山県,84,34182,34200.0
ノム ニシ,山口県,84,71500,71500.0
フヨタワ クチモニ,群馬県,66,26700,26700.0
ハトウス ハコ,福岡県,38,65300,65300.0
メヲ ホフヌ,鹿児島県,45,60800,60800.0
サナセ ナアツユ,京都府,69,41200,41200.0
ワヒ タヨセ,島根県,67,97500,97500.0
キメタハ ミムト,広島県,30,51758,51800.0
ワホヌ ケニマア,青森県,72,47000,47000.0
テマ フキ,茨城県,44,29645,29600.0
ヒイ ヒフオ,愛知県,93,64300,64300.0
スチヌク コテ,京都府,94,34700,34700.0
テヤ ツケエモ,栃木県,45,23258,23300.0
チウ ヌケソ,富山県,76,36268,36300.0
ヲハソ アヨヌヲ,奈良県,54,62000,62000.0
テアヨ ワケソア,大阪府,41,29400,29400.0
フオサ ヤワム,栃木県,91,85400,85400.0
ハカオホ ナウヲ,島根県,34,32400,32400.0
ツワノト ユヘ,長崎県,48,26752,26800.0
ワア ヤウヘヨ,愛媛県,50,24000,24000.0
ケシツ モユ,青森県,86,45500,45500.0
カハハ ヌカ,三重県,85,54849,54800.0
ンヒ ヨワケン,鹿児島県,51,81700,81700.0
ヤア ヘノスケ,奈良県,45,70132,70100.0
ササユム ソキ,高知県,24,77900,77900.0
ムナ ナナシヒ,山口県,28,65215,65200.0
エヒソ ツヲカウ,秋田県,16,77500,77500.0
ウマ カナ,奈良県,62,39800,39800.0
ソセ イノオ,福島県,80,74647,74600.0
ムホ ヘソ,青森県,24,42100,42100.0
ケノ ニハミ,愛知県,32,55690,55700.0
メメニ ネヒ,青森県,47,80898,80900.0
ヨナヒ ワタスモ,宮城県,67,50059,50100.0
テヌ ソキア,岡山県,56,52100,52100.0
ムウセ サナ,山形県,27,49861,49900.0
イオヌホ ソミ,岐阜県,17,32064,32100.0
ネヒタヒ テコヤノ,北海道,34,23600,23600.0
クウキ ナメ,福岡県,60,51772,51800.0
ヲヨン キキ,沖縄県,17,41000,41000.0
シメ ナワ,佐賀県,81,40807,40800.0
エシソタ ソア,山形県,56,72400,72400.0
セヤムヌ キサ,島根県,35,40300,40300.0
セマ マチナ,秋田県,50,60400,60400.0
タカテ ヲシコ,神奈川県,78,75100,75100.0
ヲヤ ナセ,栃木県,69,50300,50300.0
オヤ ネメヌカ,愛媛県,24,34241,34200.0
ンテトタ ハコ,熊本県,90,32129,32100.0
ミホタト ノワツミ,東京都,15,64485,64500.0
ヘンソ チカユヒ,高知県,50,60300,60300.0
クハキツ エミ,宮城県,73,26400,26400.0
モチ フンヒ,青森県,19,66800,66800.0
ヨス ツモ,岡山県,28,76948,76900.0
イシ ヘコヲホ,山形県,79,102000,102000.0
クヲ ヌア,茨城県,97,20600,20600.0
ノシエホ オンチ,熊本県,44,40500,40500.0
ヲサヲ ネエ,兵庫県,35,75800,75800.0
ホフ ヲウナイ,新潟県,90,49296,49300.0
タニノ ウニ,東京都,29,29200,29200.0
サス マイ,熊本県,81,59200,59200.0
カヲウ チヒクユ,秋田県,35,50252,50300.0
クユユ メヘウ,福岡県,94,21700,21700.0
オヤミ ツナユア,兵庫県,91,58740,58700.0
ミモノウ ヒユタ,高知県,39,47300,47300.0
ヒメ シマヘヲ,宮城県,68,50700,50700.0
ニキイタ チマセ,滋賀県,71,22800,22800.0
ユケハ ヌコユテ,北海道,31,69600,69600.0
ワオ ウスニヲ,高知県,65,52200,52200.0
オイ ンネホ,岩手県,98,23017,23000.0
クハシヨ ニノ,奈良県,21,39200,39200.0
ムヒ サヨ,高知県,17,29993,30000.0
スツサ ソツチ,沖縄県,94,47666,47700.0
テミフ ノメム,滋賀県,68,54200,54200.0
シムソ ヘテ,鳥取県,67,45100,45100.0
メミスキ ケム,埼玉県,17,111900,111900.0
ムユウ キモク,三重県,37,72500,72500.0
サオホト ナメ,愛媛県,95,29206,29200.0
ヒソミ トナセ,福岡県,19,48547,48500.0
ヤハ メコヨ,群馬県,17,57001,57000.0
ノセアス ミニ,石川県,30,22829,22800.0
ホケマエ ムワホス,富山県,31,56800,56800.0
エホト スヲヤケ,福島県,22,45966,46000.0
ハチチ ケンムク,和歌山県,81,52041,52000.0
ウンヤソ サヲナミ,富山県,23,65700,65700.0
ヘオナヤ ウスタウ,千葉県,83,62371,62400.0
ケメセコ ミク,新潟県,80,49300,49300.0
ムマクカ ヘオ,東京都,71,73400,73400.0
ナナシユ ソサ,徳島県,38,27100,27100.0
チナフ エツヒ,兵庫県,46,27400,27400.0
イヒキ ソテヘ,茨城県,23,88700,88700.0
ニツ マツスユ,神奈川県,44,39600,39600.0
コキアニ マフミ,山口県,63,50021,50000.0
ウヒ オテ,鹿児島県,71,39600,39600.0
ンキ ハタネマ,福岡県,30,24400,24400.0
ヘトネシ ハケ,群馬県,76,49200,49200.0
ノノ ツネ,秋田県,49,63297,63300.0
ノエ オヤエ,神奈川県,57,34100,34100.0
チヘコ ノナサム,香川県,76,53842,53800.0
ストノ タユ,島根県,97,73700,73700.0
ミソノン ミヤ,栃木県,46,72185,72200.0
ヲノヨヌ エノソ,広島県,56,28000,28000.0
マヤトミ ツメケナ,東京都,64,28295,28300.0
スサエ セヘコフ,高知県,88,49600,49600.0
ニセトチ ハウコハ,福島県,34,28713,28700.0
ヲサ ハウノ,福岡県,74,35000,35000.0
キツ ノヒセ,大阪府,96,53864,53900.0
マオムク ノヒ,和歌山県,82,58700,58700.0
ムメク イヲサ,長野県,16,28897,28900.0
テフ ククヤ,岡山県,23,68200,68200.0
タハトホ アキネヌ,山形県,81,70700,70700.0
ヘノ ユヲイセ,神奈川県,68,69100,69100.0
チア ヲホ,大分県,59,65577,65600.0
サンウ チイマ,奈良県,91,65300,65300.0
ナノ ヘンネエ,岡山県,48,22800,22800.0
トカ スタフ,高知県,87,96303,96300.0
チヒ ヤタ,滋賀県,70,42900,42900.0
フフ ミケ,大阪府,56,24200,24200.0
トヒヨ シチン,岡山県,98,98482,98500.0
ホワ ソコメ,熊本県,81,59813,59800.0
ミニオ ヌオ,広島県,91,42807,42800.0
サム タカカニ,京都府,27,52120,52100.0
トユネオ マクセ,北海道,22,49581,49600.0
クナンオ ニフヒソ,京都府,30,71316,71300.0
ヨカヨ イハテ,福岡県,51,42874,42900.0
ノムハマ フモユ,徳島県,93,137800,137800.0
トイモ ハヘネ,宮城県,92,41418,41400.0
ムサ ユクメ,秋田県,27,21000,21000.0
カフトセ トメナ,愛媛県,51,32874,32900.0
テノ ホコ,宮崎県,64,21200,21200.0
タアスウ ツヌツノ,新潟県,16,39800,39800.0
マノ ヤメ,茨城県,76,82508,82500.0
ホケ ヲクン,栃木県,93,23400,23400.0
ヌエ フステ,青森県,52,30600,30600.0
チヌソセ シタクシ,秋田県,74,45800,45800.0
オヌ ユケ,秋田県,68,26842,26800.0
ナヒ ハンヌフ,兵庫県,65,58595,58600.0
スト マウメノ,新潟県,95,22400,22400.0
ヤヤ イフ,新潟県,35,103300,103300.0
マヲ スエ,佐賀県,52,53200,53200.0
オン テノヲ,長崎県,82,37344,37300.0
ウマシ ツイ,岩手県,44,53100,53100.0
ホニ ヒヘムノ,群馬県,26,48000,48000.0
ナフワ ホコホ,島根県,20,70900,70900.0
ウニ ムンム,岡山県,27,76864,76900.0
サワス ヤフ,山口県,84,23900,23900.0
ヌチソタ シヨヨト,栃木県,84,109007,109000.0
シコカツ ネキソ,沖縄県,17,64500,64500.0
ムヒトイ スニニユ,山形県,28,45000,45000.0
ユヲヲシ ミヲコミ,熊本県,70,25160,25200.0
ヒエヒ オエケモ,和歌山県,52,25100,25100.0
ヤチ ムワキ,岩手県,63,85124,85100.0
サタミマ トキ,岡山県,73,50994,51000.0
ノトメミ エヒ,熊本県,29,32300,32300.0
カメ ユンタ,静岡県,74,29770,29800.0
ウイ オムクワ,長野県,34,74900,74900.0
ヨクテス ミミニホ,岡山県,95,60700,60700.0
ヘメノ メス,群馬県,24,40000,40000.0
ンホケ ユスイ,兵庫県,19,41616,41600.0
ナヌホ トモユヲ,奈良県,48,29200,29200.0
コニシ ヒホ,栃木県,71,64253,64300.0
ソノモク フサカス,佐賀県,17,27100,27100.0
メツオ ヨカ,島根県,43,36264,36300.0
フノ ソミス,宮城県,84,30200,30200.0
アフノン ホク,山梨県,60,34036,34000.0
ヌメケ ウフノミ,長野県,90,51400,51400.0
ウエケ ハツ,愛知県,87,39800,39800.0
コトホ ユメセ,広島県,53,57700,57700.0
ヤヤムア ニハト,福井県,40,46527,46500.0
ケハ シホ,山口県,35,90800,90800.0
ウヲ アツ,栃木県,18,38200,38200.0
コト タシオノ,徳島県,89,35400,35400.0
シフメ テヒン,東京都,71,33500,33500.0
シケタ モフ,埼玉県,18,22233,22200.0
ワト オワクヒ,福岡県,77,49906,49900.0
ハヲウ ヌナヲホ,島根県,66,64400,64400.0
ケメ ホナ,神奈川県,45,38900,38900.0
ニチ タサメ,新潟県,28,32671,32700.0
オカ タヌンミ,静岡県,94,28530,28500.0
ケタ ナク,京都府,94,38700,38700.0
ヤウヒネ キヘニ,大分県,41,20191,20200.0
サヌ ヤハ,岐阜県,76,38090,38100.0
オカム チン,福島県,65,44370,44400.0
ノムト テセト,大阪府,38,30670,30700.0
ヒメ ハマメケ,石川県,75,35400,35400.0
ヤア ンキスン,石川県,99,30700,30700.0
ホネヲ テタクト,高知県,83,53900,53900.0
セシ チテニ,滋賀県,25,51700,51700.0
イハキ モサ,三重県,97,29770,29800.0
ネフ ヤケフ,熊本県,73,64565,64600.0
キヲソ ネマ,宮崎県,89,47400,47400.0
ウクテ エフヤシ,北海道,76,38600,38600.0
マスニ マウナヘ,福岡県,66,31538,31500.0
セテ ウサソ,東京都,53,70800,70800.0
シイマ エハモヲ,茨城県,90,39500,39500.0
ワテアユ オサホ,熊本県,39,47664,47700.0
ムヤト スセ,愛知県,93,75064,75100.0
スミネ フナヨン,徳島県,43,20300,20300.0
ソタヘ モワ,埼玉県,78,38600,38600.0
モフム ツアテ,秋田県,47,32200,32200.0
ナホ ヲツア,石川県,38,26578,26600.0
ユト ケコ,福岡県,81,32500,32500.0
ネコス フユオ,佐賀県,82,39000,39000.0
イト ソワオサ,滋賀県,60,76400,76400.0
ナネミト ヌミテケ,長野県,85,49416,49400.0
ナエヘミ ヨハ,高知県,74,67500,67500.0
ミク ソウ,鹿児島県,38,47613,47600.0
トケツ ケエヒ,沖縄県,91,49000,49000.0
エヒ アホトア,山形県,43,49300,49300.0
ヌサ トヘハ,三重県,42,47400,47400.0
ヒヨシ エヌノ,愛媛県,77,34600,34600.0
トウハ ハワハ,宮崎県,77,51180,51200.0
シモ イス,熊本県,73,58613,58600.0
スムノ ツニ,和歌山県,76,55600,55600.0
オケケ ヌトヨ,佐賀県,69,72200,72200.0
チオコヨ セチホノ,奈良県,84,58800,58800.0
サホ ヘカヘソ,愛媛県,38,82413,82400.0
ホエニ セヤ,香川県,26,21300,21300.0
ミタマタ コテタ,千葉県,94,31800,31800.0
コソ ネトキ,新潟県,58,28274,28300.0
チシムウ ケクマヌ,奈良県,56,36296,36300.0
キユ トソムシ,石川県,30,95600,95600.0
ヒムワ ハソヲシ,京都府,74,99100,99100.0
ネナ ヲソ,兵庫県,32,31029,31000.0
ヨウモハ ワテツ,岐阜県,70,34700,34700.0
カネヌ ノシン,京都府,37,76000,76000.0
ンチキ モセ,秋田県,81,57300,57300.0
スセ エセヲ,宮崎県,72,36300,36300.0
ホヨヘ セツニ,岡山県,62,34000,34000.0
ケマヨ マタフケ,富山県,17,66200,66200.0
ユヘ ハホヤヌ,岐阜県,97,72660,72700.0
ホムンア ナムチ,岩手県,51,35700,35700.0
ハキフ ツノ,山形県,24,76000,76000.0
ムア エメテサ,高知県,88,24370,24400.0
ノア ケン,山形県,15,28700,28700.0
タヲウニ タヲ,千葉県,65,37755,37800.0
ヌケ コノ,石川県,95,22300,22300.0
ツヒソ ヌヲソ,佐賀県,34,31400,31400.0
マンス テカ,青森県,71,31614,31600.0
トチ キヲムフ,三重県,37,65200,65200.0
シネソ メアワミ,徳島県,76,20328,20300.0
ヒイ エカ,高知県,22,42600,42600.0
サコ カフ,石川県,24,67900,67900.0
クサテ タチヘ,青森県,55,28547,28500.0
ツニユ メカネ,大分県,60,32900,32900.0
マサト ソワ,宮城県,98,36500,36500.0
ヘト ヲオア,滋賀県,96,24900,24900.0
ナホ ホスン,高知県,52,45800,45800.0
ツナタス エヲ,兵庫県,45,30366,30400.0
マム イミエ,岐阜県,23,81300,81300.0
マコ テミ,兵庫県,30,58386,58400.0
ヘノ ヨネエモ,北海道,90,23000,23000.0
ヤタエ セオ,福島県,63,58590,58600.0
オヌ ムニスソ,岡山県,41,51700,51700.0
カンチ アサ,茨城県,61,57614,57600.0
ツメ サイキユ,大分県,24,23700,23700.0
フケハフ カケモ,岩手県,19,42800,42800.0
ヌヨタ セコ,沖縄県,93,51800,51800.0
クメメニ センホ,鳥取県,46,59535,59500.0
クミ ヒネス,山梨県,51,41257,41300.0
フヒハ ヌミワワ,青森県,93,43200,43200.0
ウヨヨサ ココ,三重県,77,21200,21200.0
コシンカ キノ,富山県,53,78985,79000.0
トアシチ チユンシ,滋賀県,91,28400,28400.0
ノサ フタ,大分県,53,23400,23400.0
ススツエ アト,石川県,57,45500,45500.0
テイ フホマ,神奈川県,82,83700,83700.0
カヌヲシ サス,新潟県,16,36500,36500.0
ネヌ ホケ,岡山県,43,32300,32300.0
ンシノエ キサ,兵庫県,51,75100,75100.0
ユモン トナヲ,長野県,75,47700,47700.0
ママネ アコオ,山梨県,33,39200,39200.0
タシヤエ オソ,宮崎県,45,52430,52400.0
マミヒソ ツタ,愛媛県,63,33528,33500.0
キス ノアヨヲ,沖縄県,87,30900,30900.0
ヘカス オシ,沖縄県,20,35743,35700.0
クトンカ ヤヲワ,山梨県,91,44800,44800.0
テカ ウミ,高知県,87,41587,41600.0
テチヌテ ハフユ,福井県,42,46300,46300.0
クオヤキ ヨヲモシ,埼玉県,42,31033,31000.0
ミメナオ スミヌ,滋賀県,87,70700,70700.0
チホタ ノンヘン,滋賀県,22,39913,39900.0
ユヨサワ チヘサ,千葉県,85,57500,57500.0
アムシフ フモチ,岐阜県,96,70900,70900.0
ンンクニ テカ,鳥取県,78,46238,46200.0
ニエ メマヒ,奈良県,27,33571,33600.0
コモサキ イワ,宮城県,64,31231,31200.0
ヘケウ ツユム,山形県,60,32900,32900.0
ホヘヌ ナスフサ,新潟県,55,20400,20400.0
ヨヒコ ヌイソク,大分県,44,30400,30400.0
ソヲヨツ ノヌセナ,福井県,81,25887,25900.0
ヘコノヨ ヘンンニ,山形県,25,41200,41200.0
ヌソムネ ナキワ,山梨県,31,86185,86200.0
ヘミ シスケナ,埼玉県,71,23701,23700.0
カアノ アオ,岡山県,33,64466,64500.0
エサ カトミ,富山県,96,75200,75200.0
オカ ツン,千葉県,88,45600,45600.0
ンセ エタハヤ,茨城県,32,27900,27900.0
クオ ソコ,神奈川県,46,20300,20300.0
ムオ ニネツス,兵庫県,29,48600,48600.0
ヌヘ ヒワ,富山県,48,28783,28800.0
ヲネス ソケヲモ,香川県,18,93200,93200.0
カム マニヒコ,長野県,77,21332,21300.0
ソチコ ワナ,山梨県,73,91993,92000.0
ソホ ンマセ,神奈川県,82,49900,49900.0
ウソセ ミア,石川県,24,32218,32200.0
モフキイ ヤフナミ,鳥取県,61,41900,41900.0
フウセ スモン,千葉県,40,57800,57800.0
オチカ ヨクム,長崎県,81,22200,22200.0
サニ コイヘ,群馬県,76,31300,31300.0
ヘテスメ シスト,奈良県,80,45425,45400.0
ナト スケナヘ,鳥取県,36,34282,34300.0
ハシム シメノ,佐賀県,52,47384,47400.0
ユクオ ノクシソ,群馬県,39,30200,30200.0
ヤアノネ ヨコネ,三重県,61,54800,54800.0
ハホヘ マサカテ,愛媛県,73,23900,23900.0
ウアヘウ アメメ,島根県,98,49400,49400.0
シス ヤイ,滋賀県,78,65100,65100.0
スセニ フホコス,鹿児島県,67,39897,39900.0
ネメミ テス,新潟県,41,24665,24700.0
ミシコヘ マワネム,愛知県,76,30389,30400.0
サコス コウ,長崎県,92,50257,50300.0
ニチア ノメソ,愛媛県,73,43876,43900.0
スネケ マネモメ,宮崎県,96,63400,63400.0
ソア スケシ,秋田県,57,58199,58200.0
ワソ ヌノ,神奈川県,53,51814,51800.0
スエスイ メヤセキ,京都府,29,47200,47200.0
ワオハイ ハホス,千葉県,18,62783,62800.0
テク ナマユ,北海道,66,24051,24100.0
ウハイコ セヘナ,三重県,57,29866,29900.0
タニオ ヤオ,滋賀県,95,46281,46300.0
コヌ ヘクチイ,山梨県,66,27400,27400.0
メユウ ホナヲコ,群馬県,84,24400,24400.0
メヒ ウセネク,富山県,62,53327,53300.0
ンテヲ ソム,神奈川県,71,28228,28200.0
キミイ テヒ,京都府,21,42700,42700.0
ワケ スエ,新潟県,44,105087,105100.0
ホイ コケヨエ,神奈川県,71,71900,71900.0
ホツイス ヤモフ,滋賀県,88,42366,42400.0
ナン ヌンユ,福井県,32,40370,40400.0
スイヤカ サマ,栃木県,93,61168,61200.0
ワテメシ エフヘ,静岡県,47,41600,41600.0
セヘシオ イメ,鹿児島県,90,74800,74800.0
ハミ ハヘ,愛媛県,33,33877,33900.0
ンノセマ トマカテ,広島県,16,73900,73900.0
キタフマ ワヒオエ,福島県,99,26970,27000.0
ミテム チトマヒ,和歌山県,63,37300,37300.0
ヨキソ ヒミヤ,山口県,28,76469,76500.0
コネサマ スケモ,徳島県,84,34118,34100.0
ンフ テノ,福島県,28,37700,37700.0
ヘナ ヘキ,埼玉県,59,66900,66900.0
エノノミ ヨウナチ,青森県,88,60000,60000.0
ノヤ ネナコ,愛知県,95,47473,47500.0
ツテ テワモ,愛知県,85,53144,53100.0
シウウ メコ,山梨県,47,36400,36400.0
オニサ エネアイ,滋賀県,21,44900,44900.0
ワシトソ ケヒ,石川県,52,74900,74900.0
カンク ヤナウ,福井県,75,29800,29800.0
ヲユ ウエ,高知県,22,44408,44400.0
ワオモ コニケ,岐阜県,22,58800,58800.0
ンセヒ メヘノ,千葉県,75,64200,64200.0
モオヨソ オハト,栃木県,77,91800,91800.0
ノイ ヤノセナ,京都府,92,32600,32600.0
シヤ ノホケ,静岡県,24,41100,41100.0
ニテム ンヒ,千葉県,89,56200,56200.0
エシマ ウマツテ,福島県,71,103124,103100.0
スヤナ ユチ,三重県,61,30000,30000.0
スウア ヨツキ,茨城県,20,44900,44900.0
ワコク テハワ,徳島県,75,35249,35200.0
ケイン ヘワソ,徳島県,19,44500,44500.0
フモネ クモヨミ,山梨県,76,30700,30700.0
ワトフノ ネヨヌ,長崎県,59,91500,91500.0
ニスコモ カホワ,三重県,69,24754,24800.0
セユ チフワ,宮崎県,16,27500,27500.0
ネヌ ネヲニキ,新潟県,38,36300,36300.0
ニメヲス セヘヲア,鳥取県,88,25956,26000.0
フキムキ メノユニ,長崎県,15,21100,21100.0
ホヲハ ワウメ,静岡県,55,85800,85800.0
ケタツフ ツエセ,高知県,16,78664,78700.0
ヤホ ケン,千葉県,79,50616,50600.0
ヘエ ヲモコヲ,東京都,16,37800,37800.0
ニオヌ ニク,石川県,23,29666,29700.0
ノヤ アヲスヒ,兵庫県,47,38500,38500.0
モコ ンカ,山口県,74,62300,62300.0
ノワケユ ヒンコキ,岡山県,54,53900,53900.0
トチ クノツコ,和歌山県,77,44000,44000.0
ヨイノ ユヌ,沖縄県,39,22700,22700.0
イノ ヤソ,滋賀県,32,21342,21300.0
ニヨフコ ハユ,大分県,75,65510,65500.0
キヤモサ ニセ,大分県,28,51116,51100.0
ツンン ヘセム,三重県,30,72900,72900.0
サキンム ネミスア,奈良県,88,20100,20100.0
ノヘサ コヲ,奈良県,68,78200,78200.0
ワオフマ ユクス,徳島県,53,55800,55800.0
ネメケ ンハオ,大分県,31,22500,22500.0
ムマネヒ カム,滋賀県,90,43747,43700.0
カセヨ アセハ,広島県,51,85106,85100.0
ケヨマ フマ,神奈川県,22,46000,46000.0
エヲム コハヒア,鹿児島県,39,46350,46400.0
メキオコ ナナ,長崎県,78,80598,80600.0
ネノケ ホトカコ,福岡県,46,49400,49400.0
ヘツ マヌオ,富山県,99,60900,60900.0
ホユンム ヨアハ,奈良県,78,52737,52700.0
カフ クソタ,石川県,34,40000,40000.0
カス ヘサココ,新潟県,37,48001,48000.0
マニムテ ヌシウ,愛知県,26,71000,71000.0
モエサ ワユヨ,高知県,85,40303,40300.0
ヒウ オオアヲ,岩手県,59,60013,60000.0
ヤサム ミセトノ,新潟県,66,33200,33200.0
ネス ヤマケ,兵庫県,71,30441,30400.0
タフコマ シヘ,愛知県,76,48600,48600.0
ニトヌメ メソソミ,神奈川県,36,38831,38800.0
トシムニ ウミノヤ,神奈川県,23,122100,122100.0
ソユ ナア,新潟県,39,38200,38200.0
ヌイミソ ムシ,新潟県,64,26200,26200.0
ナウトオ ハメツカ,兵庫県,21,70505,70500.0
カワヒ ツメメア,島根県,81,21800,21800.0
ホホ ヘミ,和歌山県,67,23999,24000.0
ナユフ ワアシ,神奈川県,27,40153,40200.0
キユ ヤセメヲ,茨城県,47,52388,52400.0
ケスネ テネケハ,兵庫県,45,48665,48700.0
エマメ シチクネ,群馬県,66,84900,84900.0
アエ メヌテ,長野県,84,24415,24400.0
トハモカ マメキカ,栃木県,76,24300,24300.0
ンフソシ ヤヌシユ,広島県,33,54053,54100.0
ノアマニ ヨフワ,静岡県,43,55755,55800.0
スア チカハナ,北海道,64,30214,30200.0
マヨサ ミセエ,徳島県,16,47000,47000.0
タイ ミウ,山梨県,26,29778,29800.0
コエ フワト,和歌山県,19,39900,39900.0
セス モカハ,鹿児島県,95,57530,57500.0
ヒエカヤ ナオ,愛媛県,63,96829,96800.0
ヘコカオ テウナキ,群馬県,69,24000,24000.0
ササツチ ツニメ,山梨県,59,21068,21100.0
エス エタカ,秋田県,72,77000,77000.0
ネモコヘ クチ,沖縄県,35,38657,38700.0
クク ソキイ,神奈川県,89,37759,37800.0
ソシハタ フサニ,栃木県,43,77440,77400.0
メミモ ホテナ,福島県,30,161800,161800.0
ニヒ ユモシソ,大分県,59,44200,44200.0
チスニソ ニネムヘ,神奈川県,57,44500,44500.0
ウヘニイ ヘサク,山梨県,28,29031,29000.0
コチ ソコテ,埼玉県,66,29200,29200.0
ナモ ユヤミ,群馬県,75,69898,69900.0
シセ ユカエケ,東京都,87,42700,42700.0
メウタ スエヒ,佐賀県,78,44200,44200.0
オツ ホケネネ,熊本県,46,46866,46900.0
マメウカ アカトヘ,岐阜県,90,35200,35200.0
